Part. funct. data; Irwin, A.W. 1981, ApJ Suppl. 45, 621. ln Q = a0+(a1*ln(T)+(a2*ln(T)+(a3*ln(T)+(a4*ln(T)+(a5*ln(T))))))
      Species       a0              a1              a2              a3              a4              a5         ln Q(16000K)
       12.02  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
       13.00 -1.66857655D+03  1.07393756D+03 -2.75925311D+02  3.54060738D+01 -2.26875413D+00  5.80737502D-02  2.78566553D+00
       13.01 -8.68206246D+02  5.51082021D+02 -1.39651672D+02  1.76615665D+01 -1.11474105D+00  2.80918810D-02  3.00938649D-01
       13.02 -1.24175698D+02  7.83456457D+01 -1.96158655D+01  2.44987569D+00 -1.52626168D-01  3.79453900D-03  7.15306992D-01
       14.00 -7.23428869D+02  4.52601901D+02 -1.12918109D+02  1.40785236D+01 -8.77132603D-01  2.18523847D-02  2.75894225D+00
       14.01 -3.67925366D+02  2.27801749D+02 -5.63139256D+01  6.96970720D+00 -4.31392293D-01  1.06749184D-02  1.83894410D+00
       14.02 -3.91665625D+02  2.45914248D+02 -6.16164424D+01  7.70134645D+00 -4.80173854D-01  1.19478316D-02  7.28359652D-02
       15.00  9.74630906D+02 -6.18827850D+02  1.56647965D+02 -1.97214442D+01  1.23393462D+00 -3.06671090D-02  2.21128596D+00
       15.01 -3.07658779D+01  7.20111961D+00  9.78932189D-01 -4.14188534D-01  4.11179949D-02 -1.33638301D-03  2.42429446D+00
       15.02 -6.99984767D+01  4.00709052D+01 -9.31663009D+00  1.11525128D+00 -6.80782270D-02  1.68288627D-03  1.76908691D+00
       16.00 -6.30703449D+01  3.53098667D+01 -7.71409969D+00  8.50300702D-01 -4.74936003D-02  1.08607937D-03  2.46306901D+00
       16.01  9.77516783D+02 -6.06713375D+02  1.50090513D+02 -1.84627161D+01  1.12856222D+00 -2.74016045D-02  1.98862927D+00
       16.02  2.23914684D+02 -1.47570136D+02  3.81918598D+01 -4.84977487D+00  3.03609041D-01 -7.51308575D-03  2.34818291D+00
       17.00 -1.41743041D+02  9.11490579D+01 -2.32901725D+01  2.97839070D+00 -1.90121006D-01  4.83977315D-03  1.80385325D+00
       17.01  2.37940076D+02 -1.49281053D+02  3.73551058D+01 -4.63170211D+00  2.84929200D-01 -6.95817201D-03  2.35805860D+00
       17.02  7.05206738D+02 -4.30210322D+02  1.04538026D+02 -1.26136527D+01  7.55075317D-01 -1.79189988D-02  1.85684089D+00
       18.00 -1.50860761D+02  9.44834641D+01 -2.36105115D+01  2.94261084D+00 -1.82910244D-01  4.53641770D-03  2.16742408D-02
       18.01  8.00614439D+01 -4.51603962D+01  1.02073231D+01 -1.13868546D+00  6.29814970D-02 -1.38557483D-03  1.75102197D+00
       18.02  3.08147365D+02 -1.87717510D+02  4.56112646D+01 -5.50134735D+00  3.29750197D-01 -7.85881328D-03  2.30753160D+00
       19.00 -1.05889824D+03  7.37734975D+02 -2.05032627D+02  2.84353380D+01 -1.96809457D+00  5.43892001D-02  4.78533638D+00
       19.01 -1.67241589D-01  1.03911655D-01 -2.57531592D-02  3.18236700D-03 -1.96075509D-04  4.81883692D-06  1.31752609D-05
       19.02  2.47411101D+01 -9.05832666D+00  9.61945436D-01  2.49306802D-02 -9.17510208D-03  3.82217668D-04  1.73290208D+00
       20.00 -5.21521085D+02  4.10712446D+02 -1.26375869D+02  1.90976557D+01 -1.42269952D+00  4.19085267D-02  5.15828843D+00
       20.01  1.65874025D+03 -1.04392185D+03  2.61702809D+02 -3.26369424D+01  2.02350114D+00 -4.98594460D-02  1.75227501D+00
