
 line no. 1   He I  4471.500    table no. 1  ne = 1.0E+13   nwl= 47

      9.00  5.68E-05  5.51E-05  5.16E-05  4.73E-05                              
     10.00  4.43E-05  4.31E-05  4.04E-05  3.70E-05                              
     12.00  2.87E-05  2.80E-05  2.63E-05  2.40E-05                              
     14.00  1.99E-05  1.95E-05  1.83E-05  1.66E-05                              
     16.00  1.39E-05  1.36E-05  1.28E-05  1.15E-05                              
     18.00 10.40E-06 10.50E-06  9.70E-06  8.74E-06                              
     20.00  8.44E-06  8.31E-06  7.77E-06  7.00E-06                              

 line no. 1   He I  4471.500    table no. 4  ne = 3.0E+14   nwl= 73

    -40.00  6.56E-06  6.71E-06  6.68E-06  6.45E-06                              
    -35.00  9.04E-06  9.25E-06  9.15E-06  8.80E-06                              
    -30.00  1.31E-05  1.34E-05  1.31E-05  1.26E-05                              
    -25.00  2.04E-05  2.06E-05  2.02E-05  1.92E-05                              
    -20.00  3.50E-05  3.50E-05  3.40E-05  3.23E-05                              
    -18.00  4.51E-05  4.49E-05  4.35E-05  4.12E-05                              
    -16.00  6.00E-05  5.94E-05  5.73E-05  5.43E-05                              
    -14.00  8.29E-05  8.17E-05  7.86E-05  7.43E-05                              
    -12.00  1.20E-04  1.18E-04  1.13E-04  1.06E-04                              
    -10.00  1.87E-04  1.82E-04  1.74E-04  1.64E-04                              
     -9.00  2.41E-04  2.34E-04  2.23E-04  2.10E-04                              
     -8.00  3.22E-04  3.11E-04  2.96E-04  2.79E-04                              
     -7.00  4.48E-04  4.31E-04  4.10E-04  3.86E-04                              
     -6.00  6.56E-04  6.30E-04  5.98E-04  5.64E-04                              
     -5.00 10.30E-04  9.89E-04  9.39E-04  8.87E-04                              
     -4.00  1.90E-03  1.84E-03  1.80E-03  1.80E-03                              
     -3.00  4.31E-03  4.24E-03  4.23E-03  4.11E-03                              
     -2.50  7.33E-03  7.38E-03  7.36E-03  7.14E-03                              
     -2.00  1.58E-02  1.55E-02  1.50E-02  1.42E-02                              
     -1.80  2.52E-02  2.44E-02  2.30E-02  2.10E-02                              
     -1.70  3.36E-02  3.20E-02  2.94E-02  2.58E-02                              
     -1.60  4.49E-02  4.15E-02  3.64E-02  3.04E-02                              
     -1.55  4.98E-02  4.54E-02  3.91E-02  3.20E-02                              
     -1.50  5.18E-02  4.70E-02  4.03E-02  3.29E-02                              
     -1.45  4.94E-02  4.58E-02  3.98E-02  3.29E-02                              
     -1.40  4.37E-02  4.20E-02  3.78E-02  3.20E-02                              
     -1.30  3.10E-02  3.21E-02  3.13E-02  2.87E-02                              
     -1.20  2.23E-02  2.43E-02  2.53E-02  2.49E-02                              
     -1.10  1.78E-02  1.97E-02  2.12E-02  2.18E-02                              
     -1.00  1.64E-02  1.75E-02  1.89E-02  1.98E-02                              
     -0.90  1.67E-02  1.66E-02  1.79E-02  1.89E-02                              
     -0.80  1.88E-02  1.78E-02  1.85E-02  1.96E-02                              
     -0.70  2.34E-02  2.16E-02  2.16E-02  2.32E-02                              
     -0.60  3.07E-02  2.86E-02  2.88E-02  3.25E-02                              
     -0.50  4.45E-02  4.26E-02  4.43E-02  5.34E-02                              
     -0.40  7.13E-02  7.05E-02  7.69E-02 10.46E-02                              
     -0.30  1.28E-01  1.33E-01  1.59E-01  2.43E-01                              
     -0.20  2.89E-01  3.24E-01  4.25E-01  5.86E-01                              
     -0.15  5.07E-01  5.82E-01  7.22E-01  8.64E-01                              
     -0.10  9.94E-01 10.75E-01 11.69E-01 11.95E-01                              
     -0.05  1.91E 00  1.82E 00  1.71E 00  1.53E 00                              
      0.00  2.90E 00  2.54E 00  2.17E 00  1.80E 00                              
      0.05  3.10E 00  2.79E 00  2.38E 00  1.94E 00                              
      0.10  2.37E 00  2.41E 00  2.24E 00  1.91E 00                              
      0.15  1.57E 00  1.77E 00  1.86E 00  1.74E 00                              
      0.20  1.12E 00  1.24E 00  1.41E 00  1.46E 00                              
      0.25  8.49E-01  8.91E-01 10.20E-01 11.59E-01                              
      0.30  5.97E-01  6.36E-01  7.19E-01  8.72E-01                              
      0.40  2.62E-01  2.89E-01  3.41E-01  4.46E-01                              
      0.50  1.40E-01  1.44E-01  1.63E-01  2.16E-01                              
      0.60  8.87E-02  8.76E-02  9.14E-02 11.14E-02                              
      0.70  6.17E-02  5.99E-02  6.02E-02  6.63E-02                              
      0.80  4.63E-02  4.47E-02  4.41E-02  4.58E-02                              
      0.90  3.64E-02  3.53E-02  3.46E-02  3.48E-02                              
      1.00  2.91E-02  2.82E-02  2.76E-02  2.74E-02                              
      1.50 10.70E-03  9.83E-03  9.34E-03  8.63E-03                              
      2.00  5.74E-03  5.23E-03  4.80E-03  4.35E-03                              
      3.00  2.53E-03  2.32E-03  2.20E-03  2.01E-03                              
      4.00 11.45E-04 10.59E-04 10.18E-04  9.49E-04                              
      5.00  6.64E-04  6.35E-04  5.92E-04  5.44E-04                              
      6.00  4.36E-04  4.15E-04  3.90E-04  3.58E-04                              
      7.00  3.05E-04  2.94E-04  2.75E-04  2.52E-04                              
      8.00  2.25E-04  2.17E-04  2.03E-04  1.86E-04                              
     10.00  1.33E-04  1.29E-04  1.21E-04  1.11E-04                              
     12.00  8.61E-05  8.41E-05  7.90E-05  7.21E-05                              
     14.00  5.93E-05  5.81E-05  5.45E-05  4.96E-05                              
     16.00  4.25E-05  4.18E-05  3.92E-05  3.55E-05                              
     18.00  3.16E-05  3.11E-05  2.91E-05  2.62E-05                              
     20.00  2.53E-05  2.49E-05  2.33E-05  2.10E-05                              
     25.00  1.61E-05  1.58E-05  1.48E-05  1.33E-05                              
     30.00 11.50E-06 11.20E-06 10.30E-06  9.22E-06                              
     35.00  9.09E-06  8.64E-06  7.88E-06  6.95E-06                              
     40.00  7.85E-06  7.23E-06  6.44E-06  5.58E-06                              

 line no. 1   He I  4471.500    table no. 5  ne = 1.0E+15   nwl= 79

    -60.00  8.06E-06  8.46E-06  8.56E-06  8.38E-06                              
    -55.00  1.00E-05  1.05E-05  1.05E-05  1.03E-05                              
    -50.00  1.27E-05  1.32E-05  1.32E-05  1.28E-05                              
    -45.00  1.64E-05  1.69E-05  1.69E-05  1.64E-05                              
    -40.00  2.18E-05  2.25E-05  2.24E-05  2.16E-05                              
    -35.00  3.03E-05  3.10E-05  3.06E-05  2.95E-05                              
    -30.00  4.39E-05  4.47E-05  4.40E-05  4.21E-05                              
    -25.00  6.83E-05  6.89E-05  6.74E-05  6.43E-05                              
    -20.00  1.17E-04  1.17E-04  1.14E-04  1.08E-04                              
    -18.00  1.51E-04  1.50E-04  1.45E-04  1.38E-04                              
    -16.00  2.00E-04  1.99E-04  1.92E-04  1.82E-04                              
    -14.00  2.77E-04  2.73E-04  2.63E-04  2.48E-04                              
    -12.00  4.02E-04  3.94E-04  3.78E-04  3.57E-04                              
    -10.00  6.27E-04  6.11E-04  5.84E-04  5.50E-04                              
     -8.00 10.80E-04 10.50E-04  9.96E-04  9.39E-04                              
     -6.00  2.16E-03  2.08E-03  2.05E-03  1.94E-03                              
     -5.00  3.37E-03  3.21E-03  3.35E-03  3.27E-03                              
     -4.00  6.33E-03  6.17E-03  6.38E-03  6.28E-03                              
     -3.00  1.45E-02  1.43E-02  1.42E-02  1.36E-02                              
     -2.40  2.81E-02  2.81E-02  2.73E-02  2.59E-02                              
     -2.20  3.77E-02  3.77E-02  3.65E-02  3.41E-02                              
     -2.00  5.22E-02  5.20E-02  4.98E-02  4.57E-02                              
     -1.90  6.14E-02  6.08E-02  5.80E-02  5.24E-02                              
     -1.80  7.13E-02  7.03E-02  6.65E-02  5.91E-02                              
     -1.70  8.02E-02  7.85E-02  7.38E-02  6.45E-02                              
     -1.60  8.37E-02  8.25E-02  7.75E-02  6.73E-02                              
     -1.50  7.83E-02  7.92E-02  7.58E-02  6.66E-02                              
     -1.40  6.84E-02  6.99E-02  6.93E-02  6.28E-02                              
     -1.30  5.63E-02  5.89E-02  6.07E-02  5.76E-02                              
     -1.20  4.63E-02  4.97E-02  5.30E-02  5.28E-02                              
     -1.10  4.08E-02  4.41E-02  4.80E-02  4.98E-02                              
     -1.00  3.99E-02  4.24E-02  4.64E-02  4.94E-02                              
     -0.80  4.94E-02  5.03E-02  5.32E-02  5.77E-02                              
     -0.60  7.80E-02  7.65E-02  7.73E-02  8.38E-02                              
     -0.40  1.53E-01  1.46E-01  1.46E-01  1.56E-01                              
     -0.30  2.37E-01  2.27E-01  2.25E-01  2.36E-01                              
     -0.20  4.01E-01  3.78E-01  3.66E-01  3.70E-01                              
     -0.10  6.96E-01  6.40E-01  5.99E-01  5.72E-01                              
      0.00 10.71E-01  9.89E-01  9.05E-01  8.21E-01                              
      0.10  1.26E 00  1.23E 00  1.15E 00  1.03E 00                              
      0.20  1.15E 00  1.19E 00  1.19E 00  1.11E 00                              
      0.30  8.86E-01  9.54E-01 10.01E-01 10.09E-01                              
      0.40  6.28E-01  6.82E-01  7.39E-01  8.01E-01                              
      0.50  4.33E-01  4.67E-01  5.10E-01  5.78E-01                              
      0.60  3.04E-01  3.21E-01  3.46E-01  3.98E-01                              
      0.70  2.20E-01  2.28E-01  2.41E-01  2.72E-01                              
      0.80  1.66E-01  1.68E-01  1.73E-01  1.91E-01                              
      1.00  1.03E-01  1.00E-01  1.00E-01  1.05E-01                              
      1.20  6.80E-02  6.59E-02  6.39E-02  6.49E-02                              
      1.40  4.77E-02  4.57E-02  4.36E-02  4.30E-02                              
      1.60  3.56E-02  3.39E-02  3.19E-02  3.08E-02                              
      2.00  2.15E-02  2.03E-02  1.89E-02  1.78E-02                              
      2.50  1.29E-02  1.21E-02  1.12E-02  1.05E-02                              
      3.00  8.55E-03  8.00E-03  7.42E-03  6.84E-03                              
      4.00  4.26E-03  3.93E-03  3.58E-03  3.23E-03                              
      5.00  2.47E-03  2.34E-03  2.08E-03  1.97E-03                              
      6.00  1.48E-03  1.42E-03  1.33E-03  1.23E-03                              
      8.00  7.35E-04  7.11E-04  6.65E-04  6.09E-04                              
     10.00  4.35E-04  4.23E-04  3.96E-04  3.62E-04                              
     12.00  2.82E-04  2.76E-04  2.58E-04  2.35E-04                              
     14.00  1.95E-04  1.91E-04  1.80E-04  1.63E-04                              
     16.00  1.41E-04  1.39E-04  1.30E-04  1.18E-04                              
     18.00 10.50E-05 10.30E-05  9.68E-05  8.73E-05                              
