****** Levels
   4  21   0   0   4      0      0   0.000E+00   5.000E-02
   4  22   0   0   4      0      0   0.000E+00   5.000E-02
   4  23   0   0   4      0      0   0.000E+00   5.000E-02
   4  24  -1   0   1      0      0   8.311E-04   2.000E-01
  F  1  7  0.  0.
   4  25   0   0   4      0      0   0.000E+00   5.000E-02
   4  26   0   0   4      0      0   0.000E+00   5.000E-02
   4  27   0   0   4      0      0   0.000E+00   5.000E-02
   4  28   0   0   4      0      0   0.000E+00   5.000E-02
   4  29  -1   0   1      0      0   2.292E-02   2.000E-01
  F  1  7  0.  0.
   4  30   0   0   4      0      0   0.000E+00   5.000E-02
   4  31  -1   0   1      0      0   1.315E-02   2.000E-01
  F  1  7  0.  0.
   4  32   0   0   4      0      0   0.000E+00   5.000E-02
   4  33   0   0   4      0      0   0.000E+00   5.000E-02
   4  34  -1   0   1      0      0   8.756E-04   2.000E-01
  F  1  7  0.  0.
   4  35   0   0   4      0      0   0.000E+00   5.000E-02
   4  36  -1   0   1      0      0   8.673E-02   2.000E-01
  F  1  7  0.  0.
   4  37   0   0   4      0      0   0.000E+00   5.000E-02
   4  38   0   0   4      0      0   0.000E+00   5.000E-02
   4  39   0   0   4      0      0   0.000E+00   5.000E-02
   4  40  -1   0   1      0      0   2.578E-01   2.000E-01
  F  1  7  0.  0.
   4  41   0   0   4      0      0   0.000E+00   5.000E-02
   4  42   0   0   4      0      0   0.000E+00   5.000E-02
   4  43  -1   0   1      0      0   3.337E-01   2.000E-01
  F  1  7  0.  0.
   4  44   0   0   4      0      0   0.000E+00   5.000E-02
   5   6   0   0   4      0      0   0.000E+00   5.000E-02
   5   7   0   0   4      0      0   0.000E+00   5.000E-02
   5   8   0   0   4      0      0   0.000E+00   5.000E-02
   5   9   0   0   4      0      0   0.000E+00   5.000E-02
   5  10   0   0   4      0      0   0.000E+00   5.000E-02
   5  11   0   0   4      0      0   0.000E+00   5.000E-02
   5  12   0   0   4      0      0   0.000E+00   5.000E-02
   5  13   0   0   4      0      0   0.000E+00   5.000E-02
   5  14   0   0   4      0      0   0.000E+00   5.000E-02
   5  15   0   0   4      0      0   0.000E+00   5.000E-02
   5  16   0   0   4      0      0   0.000E+00   5.000E-02
   5  17   0   0   4      0      0   0.000E+00   5.000E-02
   5  18   0   0   4      0      0   0.000E+00   5.000E-02
   5  19   0   0   4      0      0   0.000E+00   5.000E-02
   5  20   0   0   4      0      0   0.000E+00   5.000E-02
   5  21   0   0   4      0      0   0.000E+00   5.000E-02
   5  22   0   0   4      0      0   0.000E+00   5.000E-02
   5  23   0   0   4      0      0   0.000E+00   5.000E-02
   5  24   0   0   4      0      0   0.000E+00   5.000E-02
   5  25   0   0   4      0      0   0.000E+00   5.000E-02
   5  26   0   0   4      0      0   0.000E+00   5.000E-02
   5  27   0   0   4      0      0   0.000E+00   5.000E-02
   5  28  -1   0   1      0      0   3.933E-02   2.000E-01
  F  1  7  0.  0.
   5  29   0   0   4      0      0   0.000E+00   5.000E-02
   5  30  -1   0   1      0      0   5.768E-02   2.000E-01
  F  1  7  0.  0.
   5  31   0   0   4      0      0   0.000E+00   5.000E-02
   5  32   0   0   4      0      0   0.000E+00   5.000E-02
   5  33   0   0   4      0      0   0.000E+00   5.000E-02
   5  34   0   0   4      0      0   0.000E+00   5.000E-02
   5  35   0   0   4      0      0   0.000E+00   5.000E-02
   5  36   0   0   4      0      0   0.000E+00   5.000E-02
   5  37   0   0   4      0      0   0.000E+00   5.000E-02
   5  38  -1   0   1      0      0   1.158E-01   2.000E-01
  F  1  7  0.  0.
   5  39   0   0   4      0      0   0.000E+00   5.000E-02
   5  40   0   0   4      0      0   0.000E+00   5.000E-02
   5  41  -1   0   1      0      0   7.034E-02   2.000E-01
  F  1  7  0.  0.
