   697       0       17       0.     0.205335488
  0.86752E+03 0.00000E+00 0.00000E+00 0.19717E+03 0.40232E+02 0.00000E+00
  0.86805E+03 0.00000E+00 0.00000E+00 0.19946E+03 0.40844E+02 0.00000E+00
  0.86858E+03 0.00000E+00 0.00000E+00 0.20230E+03 0.41471E+02 0.00000E+00
  0.86911E+03 0.00000E+00 0.00000E+00 0.20549E+03 0.42072E+02 0.00000E+00
  0.86964E+03 0.00000E+00 0.00000E+00 0.20800E+03 0.42701E+02 0.00000E+00
  0.87017E+03 0.00000E+00 0.00000E+00 0.21056E+03 0.43343E+02 0.00000E+00
  0.87070E+03 0.00000E+00 0.00000E+00 0.21487E+03 0.43972E+02 0.00000E+00
  0.87123E+03 0.00000E+00 0.00000E+00 0.21772E+03 0.44635E+02 0.00000E+00
  0.87176E+03 0.00000E+00 0.00000E+00 0.22051E+03 0.45327E+02 0.00000E+00
  0.87229E+03 0.00000E+00 0.00000E+00 0.22475E+03 0.46001E+02 0.00000E+00
  0.87282E+03 0.00000E+00 0.00000E+00 0.22725E+03 0.46713E+02 0.00000E+00
  0.87336E+03 0.00000E+00 0.00000E+00 0.23196E+03 0.47397E+02 0.00000E+00
  0.87389E+03 0.00000E+00 0.00000E+00 0.23550E+03 0.48091E+02 0.00000E+00
  0.87443E+03 0.00000E+00 0.00000E+00 0.23788E+03 0.48808E+02 0.00000E+00
  0.87496E+03 0.00000E+00 0.00000E+00 0.24072E+03 0.49493E+02 0.00000E+00
  0.87550E+03 0.00000E+00 0.00000E+00 0.24530E+03 0.50160E+02 0.00000E+00
  0.87604E+03 0.00000E+00 0.00000E+00 0.24719E+03 0.50882E+02 0.00000E+00
  0.87657E+03 0.00000E+00 0.00000E+00 0.25095E+03 0.51597E+02 0.00000E+00
  0.87711E+03 0.00000E+00 0.00000E+00 0.25428E+03 0.52353E+02 0.00000E+00
  0.87765E+03 0.00000E+00 0.00000E+00 0.25749E+03 0.53162E+02 0.00000E+00
  0.87819E+03 0.00000E+00 0.00000E+00 0.26202E+03 0.54003E+02 0.00000E+00
  0.87873E+03 0.00000E+00 0.00000E+00 0.26800E+03 0.54891E+02 0.00000E+00
  0.87927E+03 0.00000E+00 0.00000E+00 0.27187E+03 0.55843E+02 0.00000E+00
  0.87981E+03 0.00000E+00 0.00000E+00 0.27677E+03 0.56820E+02 0.00000E+00
  0.88035E+03 0.00000E+00 0.00000E+00 0.28195E+03 0.57815E+02 0.00000E+00
  0.88090E+03 0.00000E+00 0.00000E+00 0.28657E+03 0.58840E+02 0.00000E+00
  0.88144E+03 0.00000E+00 0.00000E+00 0.29275E+03 0.59886E+02 0.00000E+00
  0.88198E+03 0.00000E+00 0.00000E+00 0.29728E+03 0.60978E+02 0.00000E+00
  0.88253E+03 0.00000E+00 0.00000E+00 0.30265E+03 0.62088E+02 0.00000E+00
  0.88308E+03 0.00000E+00 0.00000E+00 0.30989E+03 0.63184E+02 0.00000E+00
  0.88362E+03 0.00000E+00 0.00000E+00 0.31504E+03 0.64304E+02 0.00000E+00
  0.88417E+03 0.00000E+00 0.00000E+00 0.32058E+03 0.65405E+02 0.00000E+00
  0.88472E+03 0.00000E+00 0.00000E+00 0.32448E+03 0.66506E+02 0.00000E+00
  0.88526E+03 0.00000E+00 0.00000E+00 0.33012E+03 0.67581E+02 0.00000E+00
  0.88581E+03 0.00000E+00 0.00000E+00 0.33562E+03 0.68645E+02 0.00000E+00
  0.88636E+03 0.00000E+00 0.00000E+00 0.34062E+03 0.69723E+02 0.00000E+00
  0.88691E+03 0.00000E+00 0.00000E+00 0.34516E+03 0.70843E+02 0.00000E+00
  0.88746E+03 0.00000E+00 0.00000E+00 0.34965E+03 0.71988E+02 0.00000E+00
  0.88802E+03 0.00000E+00 0.00000E+00 0.35688E+03 0.73157E+02 0.00000E+00
  0.88857E+03 0.00000E+00 0.00000E+00 0.36153E+03 0.74436E+02 0.00000E+00
  0.88912E+03 0.00000E+00 0.00000E+00 0.37132E+03 0.75672E+02 0.00000E+00
  0.88967E+03 0.00000E+00 0.00000E+00 0.37670E+03 0.76982E+02 0.00000E+00
  0.89023E+03 0.00000E+00 0.00000E+00 0.38266E+03 0.78281E+02 0.00000E+00
  0.89078E+03 0.00000E+00 0.00000E+00 0.38789E+03 0.79560E+02 0.00000E+00
  0.89134E+03 0.00000E+00 0.00000E+00 0.39333E+03 0.80875E+02 0.00000E+00
  0.89190E+03 0.00000E+00 0.00000E+00 0.39986E+03 0.82218E+02 0.00000E+00
  0.89245E+03 0.00000E+00 0.00000E+00 0.40598E+03 0.83662E+02 0.00000E+00
  0.89301E+03 0.00000E+00 0.00000E+00 0.41487E+03 0.85192E+02 0.00000E+00
  0.89357E+03 0.00000E+00 0.00000E+00 0.42244E+03 0.86815E+02 0.00000E+00
  0.89413E+03 0.00000E+00 0.00000E+00 0.43197E+03 0.88525E+02 0.00000E+00
  0.89469E+03 0.00000E+00 0.00000E+00 0.44152E+03 0.90288E+02 0.00000E+00
  0.89525E+03 0.00000E+00 0.00000E+00 0.45026E+03 0.92087E+02 0.00000E+00
  0.89581E+03 0.00000E+00 0.00000E+00 0.45906E+03 0.93931E+02 0.00000E+00
  0.89637E+03 0.00000E+00 0.00000E+00 0.46723E+03 0.95822E+02 0.00000E+00
  0.89694E+03 0.00000E+00 0.00000E+00 0.47601E+03 0.97780E+02 0.00000E+00
  0.89750E+03 0.00000E+00 0.00000E+00 0.48678E+03 0.99813E+02 0.00000E+00
  0.89806E+03 0.00000E+00 0.00000E+00 0.49917E+03 0.10193E+03 0.00000E+00
  0.89863E+03 0.00000E+00 0.00000E+00 0.50941E+03 0.10415E+03 0.00000E+00
  0.89919E+03 0.00000E+00 0.00000E+00 0.52210E+03 0.10640E+03 0.00000E+00
  0.89976E+03 0.00000E+00 0.00000E+00 0.53373E+03 0.10864E+03 0.00000E+00
  0.90033E+03 0.00000E+00 0.00000E+00 0.54351E+03 0.11093E+03 0.00000E+00
  0.90090E+03 0.00000E+00 0.00000E+00 0.55675E+03 0.11314E+03 0.00000E+00
  0.90146E+03 0.00000E+00 0.00000E+00 0.56448E+03 0.11543E+03 0.00000E+00
  0.90203E+03 0.00000E+00 0.00000E+00 0.57607E+03 0.11771E+03 0.00000E+00
  0.90260E+03 0.00000E+00 0.00000E+00 0.58718E+03 0.12007E+03 0.00000E+00
  0.90317E+03 0.00000E+00 0.00000E+00 0.60036E+03 0.12244E+03 0.00000E+00
  0.90375E+03 0.00000E+00 0.00000E+00 0.61429E+03 0.12484E+03 0.00000E+00
  0.90432E+03 0.00000E+00 0.00000E+00 0.62491E+03 0.12729E+03 0.00000E+00
  0.90489E+03 0.00000E+00 0.00000E+00 0.63676E+03 0.12967E+03 0.00000E+00
  0.90546E+03 0.00000E+00 0.00000E+00 0.64741E+03 0.13202E+03 0.00000E+00
  0.90604E+03 0.00000E+00 0.00000E+00 0.65681E+03 0.13440E+03 0.00000E+00
  0.90661E+03 0.00000E+00 0.00000E+00 0.66671E+03 0.13687E+03 0.00000E+00
  0.90719E+03 0.00000E+00 0.00000E+00 0.68172E+03 0.13937E+03 0.00000E+00
  0.90777E+03 0.00000E+00 0.00000E+00 0.69369E+03 0.14203E+03 0.00000E+00
  0.90834E+03 0.00000E+00 0.00000E+00 0.71072E+03 0.14472E+03 0.00000E+00
  0.90892E+03 0.00000E+00 0.00000E+00 0.72301E+03 0.14750E+03 0.00000E+00
  0.90950E+03 0.00000E+00 0.00000E+00 0.73674E+03 0.15024E+03 0.00000E+00
  0.91008E+03 0.00000E+00 0.00000E+00 0.74743E+03 0.15306E+03 0.00000E+00
  0.91066E+03 0.00000E+00 0.00000E+00 0.75810E+03 0.15600E+03 0.00000E+00
  0.91124E+03 0.00000E+00 0.00000E+00 0.77435E+03 0.15907E+03 0.00000E+00
  0.91182E+03 0.00000E+00 0.00000E+00 0.79154E+03 0.16236E+03 0.00000E+00
  0.91240E+03 0.00000E+00 0.00000E+00 0.81180E+03 0.16586E+03 0.00000E+00
  0.91299E+03 0.00000E+00 0.00000E+00 0.83108E+03 0.16954E+03 0.00000E+00
  0.91357E+03 0.00000E+00 0.00000E+00 0.84757E+03 0.17340E+03 0.00000E+00
  0.91415E+03 0.00000E+00 0.00000E+00 0.87027E+03 0.17725E+03 0.00000E+00
  0.91474E+03 0.00000E+00 0.00000E+00 0.88953E+03 0.18120E+03 0.00000E+00
  0.91533E+03 0.00000E+00 0.00000E+00 0.90638E+03 0.18532E+03 0.00000E+00
  0.91591E+03 0.00000E+00 0.00000E+00 0.92822E+03 0.18947E+03 0.00000E+00
  0.91650E+03 0.00000E+00 0.00000E+00 0.94959E+03 0.19375E+03 0.00000E+00
  0.91709E+03 0.00000E+00 0.00000E+00 0.97031E+03 0.19826E+03 0.00000E+00
  0.91768E+03 0.00000E+00 0.00000E+00 0.99420E+03 0.20289E+03 0.00000E+00
  0.91827E+03 0.00000E+00 0.00000E+00 0.10209E+04 0.20764E+03 0.00000E+00
  0.91886E+03 0.00000E+00 0.00000E+00 0.10467E+04 0.21249E+03 0.00000E+00
  0.91945E+03 0.00000E+00 0.00000E+00 0.10701E+04 0.21744E+03 0.00000E+00
  0.92004E+03 0.00000E+00 0.00000E+00 0.10928E+04 0.22240E+03 0.00000E+00
  0.92064E+03 0.00000E+00 0.00000E+00 0.11149E+04 0.22750E+03 0.00000E+00
  0.92123E+03 0.00000E+00 0.00000E+00 0.11432E+04 0.23257E+03 0.00000E+00
  0.92182E+03 0.00000E+00 0.00000E+00 0.11734E+04 0.23765E+03 0.00000E+00
  0.92242E+03 0.00000E+00 0.00000E+00 0.11959E+04 0.24287E+03 0.00000E+00
  0.92301E+03 0.00000E+00 0.00000E+00 0.12217E+04 0.24791E+03 0.00000E+00
  0.92361E+03 0.00000E+00 0.00000E+00 0.12412E+04 0.25301E+03 0.00000E+00
  0.92421E+03 0.00000E+00 0.00000E+00 0.12603E+04 0.25823E+03 0.00000E+00
  0.92481E+03 0.00000E+00 0.00000E+00 0.12867E+04 0.26354E+03 0.00000E+00
  0.92541E+03 0.00000E+00 0.00000E+00 0.13196E+04 0.26901E+03 0.00000E+00
  0.92601E+03 0.00000E+00 0.00000E+00 0.13489E+04 0.27478E+03 0.00000E+00
  0.92661E+03 0.00000E+00 0.00000E+00 0.13732E+04 0.28084E+03 0.00000E+00
  0.92721E+03 0.00000E+00 0.00000E+00 0.13986E+04 0.28710E+03 0.00000E+00
  0.92781E+03 0.00000E+00 0.00000E+00 0.14324E+04 0.29362E+03 0.00000E+00
  0.92841E+03 0.00000E+00 0.00000E+00 0.14665E+04 0.30058E+03 0.00000E+00
  0.92902E+03 0.00000E+00 0.00000E+00 0.15037E+04 0.30796E+03 0.00000E+00
  0.92962E+03 0.00000E+00 0.00000E+00 0.15430E+04 0.31581E+03 0.00000E+00
  0.93023E+03 0.00000E+00 0.00000E+00 0.15839E+04 0.32409E+03 0.00000E+00
  0.93083E+03 0.00000E+00 0.00000E+00 0.16209E+04 0.33296E+03 0.00000E+00
