697    18       17     8.0885889e-03 0.1597329
  0.90546E+03 0.20991E+01 0.18349E-01 0.32815E+02 0.52376E+01 0.60627E+00
  0.90603E+03 0.17410E+01 0.19930E-01 0.33336E+02 0.52869E+01 0.64816E+00
  0.90661E+03 0.27613E+01 0.22321E-01 0.33545E+02 0.53108E+01 0.70064E+00
  0.90718E+03 0.30269E+01 0.25066E-01 0.33491E+02 0.53089E+01 0.76603E+00
  0.90776E+03 0.38393E+01 0.27624E-01 0.32892E+02 0.52993E+01 0.82199E+00
  0.90834E+03 0.40204E+01 0.29525E-01 0.32960E+02 0.52887E+01 0.86373E+00
  0.90891E+03 0.42026E+01 0.30850E-01 0.32531E+02 0.52992E+01 0.89258E+00
  0.90949E+03 0.42444E+01 0.32000E-01 0.33023E+02 0.53244E+01 0.91900E+00
  0.91007E+03 0.44670E+01 0.33065E-01 0.33136E+02 0.53749E+01 0.94635E+00
  0.91065E+03 0.44424E+01 0.33818E-01 0.33198E+02 0.54605E+01 0.96624E+00
  0.91123E+03 0.43696E+01 0.33904E-01 0.34475E+02 0.55791E+01 0.97278E+00
  0.91181E+03 0.42617E+01 0.33601E-01 0.35491E+02 0.57262E+01 0.97125E+00
  0.91240E+03 0.42791E+01 0.33452E-01 0.36824E+02 0.58756E+01 0.97689E+00
  0.91298E+03 0.43009E+01 0.33537E-01 0.37528E+02 0.60292E+01 0.98693E+00
  0.91356E+03 0.45136E+01 0.33182E-01 0.38845E+02 0.61784E+01 0.98507E+00
  0.91415E+03 0.39314E+01 0.32237E-01 0.39717E+02 0.63187E+01 0.97341E+00
  0.91473E+03 0.42018E+01 0.31134E-01 0.40510E+02 0.64389E+01 0.95171E+00
  0.91532E+03 0.39607E+01 0.29692E-01 0.41143E+02 0.65408E+01 0.92093E+00
  0.91591E+03 0.32855E+01 0.28100E-01 0.41873E+02 0.66163E+01 0.89012E+00
  0.91649E+03 0.32523E+01 0.27193E-01 0.42176E+02 0.66580E+01 0.87261E+00
  0.91708E+03 0.34137E+01 0.26958E-01 0.41814E+02 0.66841E+01 0.86966E+00
  0.91767E+03 0.37142E+01 0.26844E-01 0.41897E+02 0.67146E+01 0.86928E+00
  0.91826E+03 0.35086E+01 0.26913E-01 0.42400E+02 0.67505E+01 0.87591E+00
  0.91885E+03 0.37547E+01 0.27372E-01 0.42538E+02 0.67805E+01 0.88890E+00
  0.91944E+03 0.38015E+01 0.28007E-01 0.42114E+02 0.68212E+01 0.90652E+00
  0.92003E+03 0.39454E+01 0.28455E-01 0.42576E+02 0.68859E+01 0.92225E+00
  0.92063E+03 0.39710E+01 0.28650E-01 0.42937E+02 0.69778E+01 0.93153E+00
  0.92122E+03 0.37156E+01 0.28466E-01 0.43876E+02 0.70894E+01 0.93541E+00
  0.92182E+03 0.39601E+01 0.27722E-01 0.44649E+02 0.72304E+01 0.92171E+00
  0.92241E+03 0.34059E+01 0.26341E-01 0.46079E+02 0.73954E+01 0.89787E+00
  0.92301E+03 0.27896E+01 0.24999E-01 0.47650E+02 0.75667E+01 0.87662E+00
  0.92360E+03 0.32126E+01 0.24266E-01 0.48165E+02 0.77360E+01 0.86563E+00
  0.92420E+03 0.27540E+01 0.23951E-01 0.49720E+02 0.78859E+01 0.87122E+00
  0.92480E+03 0.31955E+01 0.23833E-01 0.50211E+02 0.80360E+01 0.87724E+00
  0.92540E+03 0.34352E+01 0.23282E-01 0.51482E+02 0.81735E+01 0.87072E+00
  0.92600E+03 0.28841E+01 0.21594E-01 0.51821E+02 0.83014E+01 0.83685E+00
  0.92660E+03 0.20326E+01 0.19180E-01 0.53016E+02 0.83993E+01 0.78608E+00
  0.92720E+03 0.17056E+01 0.16577E-01 0.53182E+02 0.84778E+01 0.72306E+00
  0.92780E+03 0.11694E+01 0.14148E-01 0.53396E+02 0.85447E+01 0.66467E+00
  0.92841E+03 0.20185E+00 0.13067E-01 0.53757E+02 0.86217E+01 0.64502E+00
  0.92901E+03 0.85967E+00 0.14560E-01 0.54156E+02 0.87101E+01 0.68556E+00
  0.92961E+03 0.21011E+01 0.17833E-01 0.54831E+02 0.88201E+01 0.76745E+00
  0.93022E+03 0.29742E+01 0.21182E-01 0.56046E+02 0.89530E+01 0.85399E+00
  0.93083E+03 0.35631E+01 0.23261E-01 0.56479E+02 0.91102E+01 0.90124E+00
  0.93143E+03 0.29697E+01 0.23687E-01 0.57595E+02 0.92866E+01 0.91231E+00
  0.93204E+03 0.27149E+01 0.23751E-01 0.59406E+02 0.94760E+01 0.91109E+00
  0.93265E+03 0.24532E+01 0.24844E-01 0.60168E+02 0.96785E+01 0.93769E+00
  0.93326E+03 0.24828E+01 0.28157E-01 0.61827E+02 0.98829E+01 0.10229E+01
  0.93387E+03 0.40234E+01 0.33719E-01 0.62793E+02 0.10106E+02 0.11610E+01
  0.93448E+03 0.53844E+01 0.40441E-01 0.65018E+02 0.10320E+02 0.13292E+01
  0.93509E+03 0.68534E+01 0.46598E-01 0.66181E+02 0.10512E+02 0.14775E+01
  0.93570E+03 0.71393E+01 0.51002E-01 0.67028E+02 0.10674E+02 0.15861E+01
  0.93632E+03 0.78625E+01 0.53561E-01 0.67965E+02 0.10796E+02 0.16406E+01
  0.93693E+03 0.72945E+01 0.54423E-01 0.67710E+02 0.10901E+02 0.16608E+01
  0.93754E+03 0.67539E+01 0.55270E-01 0.68331E+02 0.11013E+02 0.16873E+01
  0.93816E+03 0.77921E+01 0.56937E-01 0.68916E+02 0.11165E+02 0.17308E+01
  0.93878E+03 0.78794E+01 0.58668E-01 0.70183E+02 0.11373E+02 0.17865E+01
  0.93939E+03 0.82382E+01 0.59823E-01 0.72192E+02 0.11624E+02 0.18326E+01
  0.94001E+03 0.93502E+01 0.59396E-01 0.74355E+02 0.11879E+02 0.18326E+01
  0.94063E+03 0.78497E+01 0.56295E-01 0.75333E+02 0.12133E+02 0.17731E+01
  0.94125E+03 0.67106E+01 0.50873E-01 0.77213E+02 0.12388E+02 0.16537E+01
  0.94187E+03 0.54262E+01 0.44981E-01 0.79530E+02 0.12648E+02 0.15308E+01
  0.94249E+03 0.46330E+01 0.40432E-01 0.80511E+02 0.12909E+02 0.14355E+01
  0.94312E+03 0.38912E+01 0.37399E-01 0.82405E+02 0.13157E+02 0.13817E+01
  0.94374E+03 0.37920E+01 0.36108E-01 0.84093E+02 0.13394E+02 0.13681E+01
  0.94436E+03 0.41552E+01 0.36333E-01 0.84991E+02 0.13624E+02 0.13842E+01
  0.94499E+03 0.39700E+01 0.37863E-01 0.86383E+02 0.13859E+02 0.14419E+01
  0.94561E+03 0.53836E+01 0.40324E-01 0.88114E+02 0.14103E+02 0.15094E+01
  0.94624E+03 0.59828E+01 0.41822E-01 0.89180E+02 0.14356E+02 0.15509E+01
