****** Levels
 1.14731729E+16      2.    2  'N +2 2Po 1'  0   0.   0  
  1.4670  1.4099  1.3230  1.2121  0.9737  0.6579  0.5974  0.3606  0.3041  0.2396
  0.1590  0.1428  0.1299  0.0845  0.0029 -0.0205 -0.0260 -0.0474 -0.1273 -0.1927
 -0.2435 -0.3268 -0.3957 -0.9791 -1.4045 -1.8278 -2.2458 -2.6738 -3.0106
  12  33   1    137      0      0      0   5.653E-20   0.000E+00
 -0.0390 -0.0002  0.0063  0.0127  0.0192  0.0257  0.0321  0.0386  0.0451  0.0515
  0.0580  0.0645  0.0709  0.0774  0.0903  0.0968  0.1033  0.1097  0.1291  0.1485
  0.1679  0.1873  0.1938  0.2067  0.2132  0.2455  0.2779  0.3037  0.3231  0.3425
  0.3554  0.4007  0.5753  0.7499  0.9503  1.2090  1.4197
  0.0439 -0.1251 -0.0566  0.1548  0.4478  0.7531  1.0247  1.2402  1.3860  1.4800
  1.5132  1.4907  1.4143  1.2889  0.9633  0.8094  0.6908  0.6095  0.4107  0.2724
  0.1775  0.0584  0.0310  0.0397  0.0326 -0.1469 -0.2517 -0.3422 -0.3794 -0.4610
 -0.5192 -0.6632 -1.2320 -1.7538 -2.3163 -3.0035 -3.5504
  13  33   1    112      0      0      0   2.869E-18   0.000E+00
  0.2063  0.2321  0.3033  0.3421  0.3873  0.5813  0.7882  0.9822  1.1762  1.3766
  1.4995  1.5715
  0.0150 -0.0225 -0.0743 -0.1427 -0.1842 -0.4359 -0.7761 -1.1270 -1.5103 -1.9424
 -2.2288 -2.4427
  14  33   1    152      0      0      0   7.298E-21   0.000E+00
 -0.0539 -0.0474 -0.0410 -0.0345 -0.0280 -0.0216 -0.0086  0.0043  0.0108  0.0172
  0.0302  0.0366  0.0431  0.0496  0.0625  0.0690  0.0948  0.1013  0.1077  0.1142
  0.1207  0.1271  0.1465  0.1530  0.1595  0.1659  0.1724  0.1853  0.1983  0.2047
  0.2112  0.2177  0.2241  0.2306  0.2371  0.2435  0.2565  0.2629  0.2759  0.2823
  0.3082  0.3276  0.3405  0.3470  0.3599  0.3858  0.3987  0.4246  0.5216  0.6315
  0.6897  1.2996
  1.0053  1.0113  0.9705  0.8789  0.7396  0.5660  0.1955 -0.1518 -0.2919 -0.3671
 -0.4113 -0.4730 -0.5641 -0.6738 -0.8527 -0.7297 -0.0071  0.1451  0.1866  0.1257
 -0.0337 -0.2396 -0.6495 -0.6412 -0.5100 -0.4069 -0.3266 -0.1860 -0.1669 -0.1483
  0.0000  0.1824  0.3406  0.4289  0.4415  0.3846  0.2062  0.1365  0.0870  0.0702
 -0.0480 -0.1050 -0.1480 -0.1584 -0.1526 -0.1118 -0.1226 -0.1992 -0.3122 -0.4570
 -0.6242 -2.4563
  15  33   1    142      0      0      0   3.676E-19   0.000E+00
 -0.0562 -0.0368 -0.0109  0.0279  0.0861  0.0926  0.1443  0.1572  0.1637  0.1701
  0.1766  0.1895  0.1960  0.2025  0.2089  0.2154  0.2219  0.2283  0.2413  0.2477
  0.2542  0.2607  0.2671  0.2930  0.2995  0.3253  0.3512  0.3706  0.3900  0.3965
  0.4029  0.4159  0.4417  0.4934  0.5516  0.6616  0.7456  0.9590  1.3082  1.5603
  1.5991  1.6862
 -0.1241  0.0096  0.0905  0.1005  0.0082  0.0050  0.1359  0.1566  0.2580  0.3804
  0.5782  1.1675  1.3971  1.5427  1.5948  1.5520  1.4159  1.1915  0.6019  0.3453
  0.2417  0.1950  0.1148 -0.3423 -0.4373 -0.4927 -0.4969 -0.4883 -0.4457 -0.4412
 -0.4580 -0.5121 -0.5730 -0.6551 -0.7497 -0.9129 -1.0475 -1.4481 -2.1549 -2.6673
 -2.7745 -3.0381
  16  33   1    199      0      0      0   1.606E-21   0.000E+00
 -0.1006 -0.0941 -0.0876 -0.0812 -0.0747 -0.0682 -0.0618 -0.0553 -0.0488 -0.0424
 -0.0359 -0.0294 -0.0230 -0.0165 -0.0100 -0.0036  0.0029  0.0093  0.0158  0.0223
  0.0287  0.0352  0.0417  0.0481  0.0546  0.0611  0.0675  0.0740  0.0805  0.0869
  0.0934  0.0999  0.1257  0.1322  0.1451  0.1516  0.1581  0.1645  0.1710  0.1775
  0.1839  0.1904  0.1969  0.2033  0.2098  0.2163  0.2227  0.2292  0.2357  0.2421
