****** Levels
 1.1418197E+16       2.    3  'S IV 2Po 1'  0   0.  0
  0.5593  0.5297  0.4395  0.3992  0.3641  0.3619  0.3997  0.4255  0.4375  0.4166
  0.2141  0.1969  0.1980  0.1192 -0.0090 -1.9961
  15  39   1    119      0      0      0   1.407E-18   0.000E+00
  0.1524  0.1589  0.1783  0.1977  0.2300  0.2365  0.2494  0.2559  0.2624  0.2753
  0.2818  0.2882  0.3012  0.3141  0.3335  0.3723  0.3982  0.4369  1.0693
  0.6678  0.6410  0.5174  0.4547  0.4083  0.4205  0.4575  0.4435  0.3999  0.3008
  0.2578  0.2462  0.2436  0.2162  0.1652  0.0774  0.0336 -0.0730 -1.9727
  16  39   1    157      0      0      0   5.363E-19   0.000E+00
 -0.0534 -0.0470 -0.0405 -0.0340 -0.0276 -0.0211 -0.0146 -0.0082 -0.0017  0.0048
  0.0112  0.0177  0.0242  0.0306  0.0371  0.0436  0.0500  0.0565  0.0630  0.0694
  0.0759  0.0824  0.0888  0.0953  0.1018  0.1082  0.1147  0.1211  0.1276  0.1341
  0.1405  0.1470  0.1535  0.1664  0.1729  0.1793  0.1858  0.1923  0.2052  0.2311
  0.2440  0.2634  0.2699  0.2763  0.2893  0.2957  0.3022  0.3216  0.3281  0.3475
  0.3604  0.3798  0.4121  0.5285  0.5996  0.6449  1.2248
  0.4743  0.4494  0.4026  0.3217  0.1965  0.0354 -0.0136  0.0214  0.3164  0.7410
  1.0988  1.3642  1.5214  1.5758  1.5390  1.4274  1.2651  1.0733  0.8613  0.6227
  0.3510  0.0607 -0.1670 -0.1948 -0.0424  0.1338  0.2555  0.2979  0.2583  0.1474
  0.0034 -0.0788 -0.0081  0.3343  0.4567  0.5272  0.5391  0.5144  0.4555  0.3713
  0.3504  0.3419  0.3330  0.3099  0.2338  0.2041  0.1936  0.2178  0.2042  0.1177
  0.0987  0.0736  0.0236 -0.1344 -0.2259 -0.3525 -2.0946
  17  39   1    164      0      0      0   2.571E-18   0.000E+00
 -0.0569 -0.0440 -0.0375 -0.0311 -0.0246 -0.0181 -0.0117 -0.0052  0.0013  0.0077
  0.0142  0.0207  0.0271  0.0336  0.0401  0.0465  0.0530  0.0595  0.0724  0.0789
  0.0853  0.0918  0.0983  0.1047  0.1112  0.1177  0.1241  0.1306  0.1371  0.1435
